recordid,company,occurence,award_year,award_amount
166348,"OXFORD BIOMEDICAL RESEARCH, INC.",2,1994,80208
166349,"OXFORD BIOMEDICAL RESEARCH, INC.",2,1994,419964
166350,Oca Applied Optics Inc.,5,1994,730393
166352,"Oculex Pharmaceuticals, Inc.",1,1994,61392
178188,"TECHNICAL SOLUTIONS, INC.",3,1991,452714
166357,Omega Point Laboratorytorie,1,1994,81401
166358,"Omega-P, Inc.",2,1994,75000
166359,"Omega-P, Inc.",2,1994,70000
166360,"Omega-P, Inc.",2,1994,75000
166361,"Omega-P, Inc.",2,1994,600000
166364,Omnitek Research &,4,1994,70000
166366,Omnitek Research &,4,1994,70000
166368,"Oncyte, Inc.",1,1994,50034
166369,Onef Inc.,1,1994,37900
166384,Optical Networks Inc,6,1994,270121
166371,Onyx Sciences Corp,4,1994,74405
166372,Operational Techologies Corporation,3,1994,59973
166373,Opti-Logic Corporation,1,1994,580754
166374,"Optical Air Data Systems, LLC",5,1994,375000
166376,"Optical Concepts, Inc.",3,1994,289000
166379,Optical Networks Inc,6,1994,99695
166381,Optical Networks Inc,6,1994,64996
166382,Optical Networks Inc,6,1994,70000
166383,Optical Networks Inc,6,1994,60000
166386,Optical Networks Inc,6,1994,70000
166387,"Optical Polymer Research, Inc.",3,1994,50000
166388,"Optigain, Inc",2,1994,500000
166389,"Optigain, Inc",2,1994,59988
166428,Orbital Technologies Corporation,5,1994,70000
166391,"Optimal Analysis Company, Inc.",2,1994,728907
166392,"Optimization Technology, Inc.",6,1994,59985
166393,"Optiphase, Inc.",5,1994,75000
166395,"Optiphase, Inc.",5,1994,59980
166398,"Optitron, Inc.",1,1994,98800
166399,"Opto-knowledge Systems, Inc.",4,1994,69257
166401,"Opto-knowledge Systems, Inc.",4,1994,69664
166402,Optoelectronic Data System,4,1994,57672
166403,Optoelectronic Data System,4,1994,58162
166404,"Opton, Inc.",1,1994,80997
166405,"Optra, Inc.",6,1994,68722
166407,"Optra, Inc.",6,1994,79232
166408,"Optra, Inc.",6,1994,198441
166411,"Optra, Inc.",6,1994,70000
166412,"Optra, Inc.",6,1994,63349
166413,"Optra, Inc.",6,1994,72541
166415,"Optrand, Inc.",1,1994,99936
166416,"Optron Systems, Inc.",7,1994,250000
166435,Oryx Technology Corp,3,1994,70000
166441,"Osmotek, Inc.",2,1994,100000
166443,Ovonic Battery Company,1,1994,75000
166444,Owen research Inc,1,1994,64980
166445,Owen research Inc,1,1994,64981
166447,"Oxyrase, Inc.",1,1994,66834
166448,P. Nicholas Lawrence,1,1994,248325
166467,"PHOTON RESEARCH ASSOC., INC.",6,1994,67685
166449,"PARALLEL SOLUTIONS, INC.",1,1994,69321
166451,"PARTICLE BEAM LASERS, INC",1,1994,75000
166452,PATHOGENESIS CORPORATION,1,1994,75000
166454,PCB Piezotronics,2,1994,64920
166455,PCB Piezotronics,2,1994,59549
166458,PEPIN ASSOCIATES INC,1,1994,74966
166459,PERSONAL IMPROVEMENT COMPUTER SYSTEMS,2,1994,77511
166464,PHOTERA TECHNOLOGIES,6,1994,98173
166466,"PHOTOMETRICS, INC.",4,1994,59930
166468,"PHOTON RESEARCH ASSOC., INC.",6,1994,375000
166469,"PHOTON RESEARCH ASSOC., INC.",6,1994,59988
166473,PHYSICAL ACOUSTICS CORP.,3,1994,99767
169631,International Dynamics Corp.,2,1993,49957
166479,"PLANNING SYSTEMS, INC.",4,1994,200000
166480,"PLANNING SYSTEMS, INC.",4,1994,462069
166482,"PLANNING SYSTEMS, INC.",4,1994,75000
166483,"PLANNING SYSTEMS, INC.",4,1994,99069
166491,PRECISION COMBUSTION INC,3,1994,64997
166492,PRECISION COMBUSTION INC,3,1994,79099
166494,"PRECISION MAGNETIC BEARING SYSTEMS, INC.",3,1994,59209
166495,"PRESEARCH, INC.",1,1994,94442
166501,PRO-ED,1,1994,500000
166531,"Panlabs, Inc.",1,1994,75000
166497,"PRINCETON SCIENTIFIC INSTRUMENTS, INC.",6,1994,250000
166498,"PRINCETON SCIENTIFIC INSTRUMENTS, INC.",6,1994,330109
166499,"PRIZM PHARMACEUTICALS, INC.",1,1994,68836
166500,"PRIZM PHARMACEUTICALS, INC.",1,1994,81000
166503,"PROGENICS PHARMACEUTICALS, INC.",1,1994,437296
166505,PROMEGA CORP.,3,1994,99923
166510,"PROPULSION RESEARCH, INC.",4,1994,50000
166511,"PROPULSION RESEARCH, INC.",4,1994,64878
166512,"PROTEIN SOLUTIONS, INC.",1,1994,65000
166513,"Pacific Advanced Technology, Inc.",6,1994,99640
166515,"Pacific Advanced Technology, Inc.",6,1994,150000
166516,"Pacific Advanced Technology, Inc.",6,1994,58813
166518,"Pacific Advanced Technology, Inc.",6,1994,375000
166519,Pacific-sierra Research Corp.,9,1994,77544
166522,Pacific-sierra Research Corp.,9,1994,53335
166523,Pacific-sierra Research Corp.,9,1994,96075
166529,Packer Engineering,1,1994,74811
166524,Pacific-sierra Research Corp.,9,1994,69874
166525,Pacific-sierra Research Corp.,9,1994,62727
166527,Pacific-sierra Research Corp.,9,1994,98269
166528,Pacific-sierra Research Corp.,9,1994,65814
168664,Charles Evans & Associates,3,1993,74849
166530,Palyn Gould Group,1,1994,60000
166532,Panorama Research Incorporated,1,1994,75000
166533,Panorama Research Incorporated,1,1994,500000
166534,Panorama Research Incorporated,1,1994,470811
166539,"Paracelsian, Inc.",1,1994,58742
166535,Panorama Research Incorporated,1,1994,71730
166542,Parametrics,1,1994,49986
166536,Panorama Research Incorporated,1,1994,75000
166537,Panorama Research Incorporated,1,1994,75000
166538,Panorama Research Incorporated,1,1994,78537
166543,Parke Mathematical,4,1994,94054
166545,Parkview Research &,2,1994,74985
166546,Parmatech Corp,1,1994,68492
166547,Parr Research,1,1994,70000
166550,Pda Engineering,7,1994,99948
166551,Pdi Corp,2,1994,69982
166552,Pdt Pharmaceuticals,1,1994,571000
166553,Peckham Engineering & Tool,2,1994,320739
166637,Physical Optics Corporation,10,1994,74999
166554,"Pegasus Engineering Services, Inc.",1,1994,79971
186075,Megapels Inc,1,1988,49815
166556,Perceptive Sciences,1,1994,613000
166560,Personnel Decisions Research,2,1994,55511
166562,Petrelli Research,1,1994,69147
166598,Physical Optics Corporation,10,1994,61148
166563,"Pharma-logic, Inc.",1,1994,72891
166564,"Pharmagenics, Inc.",1,1994,75000
166565,Phasex Corporation,6,1994,100000
166566,Phasex Corporation,6,1994,69487
166567,Phasex Corporation,6,1994,60000
166570,Photometrics Ltd,1,1994,69996
166574,"Photonics Research, Inc.",6,1994,55586
166575,"Photonics Research, Inc.",6,1994,69968
166576,"Photonics Research, Inc.",6,1994,1000000
166577,"Photonics Research, Inc.",6,1994,58847
166578,"Photonics Research, Inc.",6,1994,300000
166579,"Photonics Research, Inc.",6,1994,64968
166580,"Photonics Research, Inc.",6,1994,69814
168609,"CSA Engineering, Inc.",5,1993,730842
166581,"Photonics Research, Inc.",6,1994,64968
166582,"Photonics Research, Inc.",6,1994,70572
166583,"Photonics Research, Inc.",6,1994,74291
166584,"Photonics Research, Inc.",6,1994,69967
166585,Physical Optics Corporation,10,1994,74990
166597,Physical Optics Corporation,10,1994,58406
166587,Physical Optics Corporation,10,1994,64995
166588,Physical Optics Corporation,10,1994,45657
166589,Physical Optics Corporation,10,1994,74973
166591,Physical Optics Corporation,10,1994,74994
166592,Physical Optics Corporation,10,1994,59991
166593,Physical Optics Corporation,10,1994,99877
166594,Physical Optics Corporation,10,1994,74976
166596,Physical Optics Corporation,10,1994,69978
166599,Physical Optics Corporation,10,1994,69998
166600,Physical Optics Corporation,10,1994,100000
166602,Physical Optics Corporation,10,1994,200000
166603,Physical Optics Corporation,10,1994,599999
166604,Physical Optics Corporation,10,1994,64949
166605,Physical Optics Corporation,10,1994,69991
166606,Physical Optics Corporation,10,1994,307772
166607,Physical Optics Corporation,10,1994,64982
166608,Physical Optics Corporation,10,1994,64982
166609,Physical Optics Corporation,10,1994,494140
166611,Physical Optics Corporation,10,1994,59981
166612,Physical Optics Corporation,10,1994,282121
166614,Physical Optics Corporation,10,1994,375000
166615,Physical Optics Corporation,10,1994,385000
166616,Physical Optics Corporation,10,1994,61197
166617,Physical Optics Corporation,10,1994,593025
166619,Physical Optics Corporation,10,1994,298599
166620,Physical Optics Corporation,10,1994,69987
166622,Physical Optics Corporation,10,1994,74286
166983,"SEPARATION SYSTEMS TECHNOLOGY, INC.",3,1994,174263
166624,Physical Optics Corporation,10,1994,59990
166625,Physical Optics Corporation,10,1994,69976
166626,Physical Optics Corporation,10,1994,79985
166627,Physical Optics Corporation,10,1994,100000
166643,Physical Sciences Inc.,9,1994,6500
166631,Physical Optics Corporation,10,1994,200000
166632,Physical Optics Corporation,10,1994,375000
166633,Physical Optics Corporation,10,1994,69992
166634,Physical Optics Corporation,10,1994,64997
166635,Physical Optics Corporation,10,1994,99984
166638,Physical Optics Corporation,10,1994,350000
166639,Physical Optics Corporation,10,1994,59879
166640,Physical Optics Corporation,10,1994,59993
166641,Physical Optics Corporation,10,1994,61139
166642,Physical Optics Corporation,10,1994,99998
166644,Physical Sciences Inc.,9,1994,75000
166646,Physical Sciences Inc.,9,1994,99980
166647,Physical Sciences Inc.,9,1994,59248
166648,Physical Sciences Inc.,9,1994,75000
166649,Physical Sciences Inc.,9,1994,75000
169503,"INTEGRATED SENSORS, INC.",5,1993,499999
166650,Physical Sciences Inc.,9,1994,460464
166651,Physical Sciences Inc.,9,1994,80162
166652,Physical Sciences Inc.,9,1994,65000
166653,Physical Sciences Inc.,9,1994,80147
182258,Cape Cod Research,7,1989,50000
166655,Physical Sciences Inc.,9,1994,75000
194233,"ETONNET, INC.",1,1984,185000
166657,Physical Sciences Inc.,9,1994,58331
166659,Physical Sciences Inc.,9,1994,65000
166660,Physical Sciences Inc.,9,1994,64995
166662,Physical Sciences Inc.,9,1994,344982
191778,"THERMACORE, INC.",6,1986,200000
166666,Physical Sciences Inc.,9,1994,59942
166667,Physical Sciences Inc.,9,1994,599998
166668,Physical Sciences Inc.,9,1994,394288
166669,Physical Sciences Inc.,9,1994,70000
166671,Physics Mathematics &,3,1994,464146
166699,Precision Prototype,1,1994,49300
166672,"Phyton Catalytic, Inc.",1,1994,74960
166673,Pi Medical Corp.,1,1994,79451
166676,Piezo Systems Inc.,2,1994,292488
166679,"Plasma Processes, LLC",1,1994,599995
166681,Plasmachines Inc.,1,1994,165000
166684,"Pod Associates, Inc.",1,1994,59918
166685,Point Source Inc,1,1994,69686
166688,Polymedica Industries,1,1994,74923
166689,Polymicro Technologies Inc.,2,1994,250000
166690,Polysense Inc.,1,1994,500000
166693,Potomac Research Inc.,1,1994,540000
166771,"RADIANT RESEARCH, INC.",4,1994,59996
166694,Pracsys Corp.,1,1994,53918
166695,Praxis Engineers Inc.,1,1994,599444
166697,Praxis Technologies Corp,2,1994,69717
166728,"Psychology Software Tools, Inc.",2,1994,299223
166701,"Pressure Technology, Inc.",1,1994,94373
166702,Primal Solutions Inc.,1,1994,59690
166704,Princeton Biomeditech,3,1994,73520
166705,Princeton Microwave Technology Inc,7,1994,59917
166707,Princeton Microwave Technology Inc,7,1994,120000
166709,Princeton Optronics,5,1994,100000
166711,Princeton Optronics,5,1994,99981
166718,Process Technology Inc.,1,1994,75000
166719,Product Development,2,1994,258018
166720,"Program Development, Training",1,1994,78171
166721,Program Support Services,1,1994,80882
166724,"Prosensing, Inc.",5,1994,310000
166725,"Prosensing, Inc.",5,1994,198738
166730,Pultrusion Dynamics Inc.,1,1994,47307
166731,"Pxl, Inc.orporated",2,1994,73531
166732,"Q-CHEM, INC.",2,1994,561650
166733,"Q-DOT, INC.",8,1994,375000
172733,Displaytech Incorporated,6,1992,250000
166960,SDL Inc,6,1994,49852
166734,"Q-DOT, INC.",8,1994,58351
166736,"Q-DOT, INC.",8,1994,69600
166737,"Q-DOT, INC.",8,1994,69954
166738,"QUALITY BIOLOGICAL, INC.",2,1994,80998
166739,"QUALITY BIOLOGICAL, INC.",2,1994,520000
166742,"QUALITY BIOLOGICAL, INC.",2,1994,81000
166743,"QUANTUM GROUP, INC.",2,1994,74500
166744,Quadrax Advanced Materials,3,1994,99996
166746,Quantix Corp,7,1994,49990
166748,Quantix Corp,7,1994,59997
166749,Quantix Corp,7,1994,59993
166753,"Quantum Epitaxial Designs,",5,1994,90846
166754,"Quantum Magnetics, Inc.",7,1994,74147
166769,"R.l. Bielawa Associates, Inc.",1,1994,89200
166756,"Quantum Magnetics, Inc.",7,1994,69524
166757,"Quantum Magnetics, Inc.",7,1994,64322
166758,"Quantum Magnetics, Inc.",7,1994,599634
166759,"Quantum Magnetics, Inc.",7,1994,52794
166762,Quantum Northwest,1,1994,75000
166764,Quantum Research Corp.,1,1994,65000
166785,RD INSTRUMENTS,4,1994,59244
166765,Quatro Corp.,2,1994,70000
166766,Quba Inc.,1,1994,199812
166768,"R&d Technologies, Inc.",1,1994,100000
166774,"RADIX TECHNOLOGIES, INC.",4,1994,375000
166775,"RADIX TECHNOLOGIES, INC.",4,1994,472843
166776,"RADIX TECHNOLOGIES, INC.",4,1994,69112
166777,"RADIX TECHNOLOGIES, INC.",4,1994,250000
166786,RD INSTRUMENTS,4,1994,275610
166779,"RADIX TECHNOLOGIES, INC.",4,1994,69460
166780,"RADIX TECHNOLOGIES, INC.",4,1994,68155
166781,RAMAR CORP.,5,1994,96684
166782,RAMAR CORP.,5,1994,375000
166787,REB Research & Consulting Co,1,1994,599314
166788,"REFRACTORY COMPOSITES, INC.",5,1994,68647
166789,"REFRACTORY COMPOSITES, INC.",5,1994,79197
166790,"REFRACTORY COMPOSITES, INC.",5,1994,60267
166792,RESEARCH ASSOCIATES OF SYRACUSE INC.,1,1994,428330
166794,RESODYN CORPORATION,2,1994,599672
166797,"REVEO, INC.",3,1994,74314
166801,ROBOTIC SYSTEMS TECHNOLOGY,1,1994,98182
166802,"ROBOTIC TECHNOLOGY, INC.",3,1994,64395
166804,ROLLING HILLS RESEARCH CORP,3,1994,69992
166806,"Radiation Monitoring Devices, Inc.",6,1994,530906
166807,"Radiation Monitoring Devices, Inc.",6,1994,70000
166808,"Radiation Monitoring Devices, Inc.",6,1994,50038
166809,"Radiation Monitoring Devices, Inc.",6,1994,100000
166810,"Radiation Monitoring Devices, Inc.",6,1994,60000
166814,"Radiation Monitoring Devices, Inc.",6,1994,75000
166815,"Radiation Monitoring Devices, Inc.",6,1994,75000
166816,"Radiation Monitoring Devices, Inc.",6,1994,600000
166818,"Radiation Monitoring Devices, Inc.",6,1994,75000
166822,"Radiation Monitoring Devices, Inc.",6,1994,75000
166823,"Radiation Safety Engineering, Inc.",2,1994,100000
166852,Redzone Robotics Inc,4,1994,362778
166826,"Radiation Science, Inc.",3,1994,70000
166827,"Radiation Science, Inc.",3,1994,65000
166828,"Radiation Science, Inc.",3,1994,75000
166829,"Radix Systems, Inc.",2,1994,69783
166835,Rayex Corp.,2,1994,76921
166872,"Research International, Inc",4,1994,59854
166836,"Rcs Technologies, Inc.",1,1994,99218
166837,"Rct Systems, Inc.",8,1994,63060
166850,Redzone Robotics Inc,4,1994,58702
166838,"Rct Systems, Inc.",8,1994,480374
166839,"Rct Systems, Inc.",8,1994,69543
166841,"Rct Systems, Inc.",8,1994,58594
166851,Redzone Robotics Inc,4,1994,250000
166843,"Rct Systems, Inc.",8,1994,69906
166847,Rdf Corp.,1,1994,69640
166848,Reaction Engineering International,2,1994,74997
166849,"Receptor Laboratorytories,",1,1994,70000
166854,Regal Technology Corp,1,1994,98593
166855,Rehabtech Associates Inc.,1,1994,258312
166856,Reifenrath Consulting &,1,1994,69694
166857,Reliable Computer Technology,3,1994,48910
166878,"Resonetics, Inc.",1,1994,70000
166858,"Remote Spectral Capture, Inc.",2,1994,60000
166860,Rensselaer Inc.ubator Center,1,1994,80250
166861,Reprovax Inc.,1,1994,50000
166862,Research Assessment Associates,1,1994,81345
172772,"ELECTRO-RADIATION, INC.",4,1992,2591851
166863,"Research Biochemicals,",1,1994,540108
166864,"Research Biochemicals,",1,1994,80249
166865,"Research Biochemicals,",1,1994,65000
166876,"Reshet, Inc.",4,1994,249811
168748,Crystal Associates Inc,4,1993,484886
166879,"Reticular Systems, Inc.",5,1994,301678
166880,"Revtek, Inc.",1,1994,80991
166881,"Rgs Assoc., Inc.",1,1994,520171
166884,Risk Management Systems,2,1994,96825
166910,SADDLEBACK AEROSPACE,4,1994,248241
166885,Robert McKenzie,1,1994,65612
166886,Rochester Photonics,4,1994,64990
166889,Rockford Diamond Technol,2,1994,74999
166890,Rockford Diamond Technol,2,1994,70000
166891,"Rocky Mountain Research, Inc.",1,1994,74990
166892,Rocky Research,2,1994,70000
166893,Ronald C Cooper,1,1994,380226
166894,Ronald C Cooper,1,1994,69304
166895,Ronin Systems Inc,2,1994,67511
166901,Ross-Hime Designs Inc,2,1994,75000
166941,SDL Inc,6,1994,49540
166896,Ronin Systems Inc,2,1994,70000
166897,Ronin Systems Inc,2,1994,47243
166898,Rose Imaging,2,1994,246895
166899,Rosen Associates,1,1994,529000
166903,"S And P Medical, Inc.",1,1994,62640
166905,S T I Optronics Inc,2,1994,50000
166907,"S. S. PAPADOPULOS AND ASSOCIATES, INC.",1,1994,65000
166908,"S.s. White Technologies, Inc.",1,1994,69901
166909,"SABOLICH RESEARCH AND DEVELOPMENT, INC.",1,1994,499026
166911,"SAGE ELECTROCHROMICS,INC.",2,1994,600000
166919,"SCHRODINGER, INC.",2,1994,74880
166920,"SCIENCE & ENGINEERING ASSOC., INC.",7,1994,69843
166921,"SCIENCE & ENGINEERING ASSOC., INC.",7,1994,62385
166922,"SCIENCE & ENGINEERING ASSOC., INC.",7,1994,59624
166924,"SCIENCE & ENGINEERING SERVICES, INC.",1,1994,74796
166929,"SCIENTIFIC RESEARCH ASSOC., INC.",7,1994,59960
167322,"Summus, Ltd.",1,1994,67508
166931,"SCIENTIFIC RESEARCH ASSOC., INC.",7,1994,79329
166934,SCIENTIFIC SYSTEMS CO INC,6,1994,58909
166935,SCIENTIFIC SYSTEMS CO INC,6,1994,491760
166936,SCIENTIFIC SYSTEMS CO INC,6,1994,69049
166943,SDL Inc,6,1994,102017
166945,SDL Inc,6,1994,63301
166947,SDL Inc,6,1994,99908
166950,SDL Inc,6,1994,99971
166951,SDL Inc,6,1994,316000
166952,SDL Inc,6,1994,106376
166953,SDL Inc,6,1994,99101
166955,SDL Inc,6,1994,69867
166958,SDL Inc,6,1994,78425
166962,SDL Inc,6,1994,375000
166966,SDL Inc,6,1994,78852
166968,SDL Inc,6,1994,49852
